date,rail_lrt_ampang
2019-01-01,5363000
2019-02-01,4454115
2019-03-01,5617697
2019-04-01,5571821
2019-05-01,5458497
2019-06-01,4906864
2019-07-01,5757222
2019-08-01,5577557
2019-09-01,5182224
2019-10-01,5816211
2019-11-01,5735068
2019-12-01,5706946
2020-01-01,5389518
2020-02-01,5161307
2020-03-01,3144777
2020-04-01,394171
2020-05-01,1205494
2020-06-01,2297520
2020-07-01,3195946
2020-08-01,3227890
2020-09-01,3549250
2020-10-01,2592837
2020-11-01,2126946
2020-12-01,2429909
2021-01-01,1824666
2021-02-01,1698744
2021-03-01,2601245
2021-04-01,2705960
2021-05-01,1799251
2021-06-01,731375
2021-07-01,824844
2021-08-01,1061950
2021-09-01,1557367
2021-10-01,2034527
2021-11-01,2392406
2021-12-01,2706638
2022-01-01,2828567
2022-02-01,2171266
2022-03-01,2693615
2022-04-01,3228674
2022-05-01,3339042
2022-06-01,4344595
2022-07-01,4266733
2022-08-01,4293066
2022-09-01,4286962
2022-10-01,4259135
2022-11-01,3963991
2022-12-01,4475686
2023-01-01,4319239
2023-02-01,3616881
2023-03-01,4308679
2023-04-01,3338686
2023-05-01,4094851
2023-06-01,4143689
2023-07-01,4237733
2023-08-01,4482065
2023-09-01,4282036
2023-10-01,4633424
2023-11-01,4572190
2023-12-01,4561106
2024-01-01,4505943
2024-02-01,4430513
2024-03-01,5196908
2024-04-01,4894934
2024-05-01,5607473
2024-06-01,5196642
2024-07-01,5626609
2024-08-01,5781159
2024-09-01,5365130
2024-10-01,5918334
2024-11-01,5718327
2024-12-01,5780943
2025-01-01,5583947
2025-02-01,5412652
2025-03-01,5755933
2025-04-01,5661642
2025-05-01,6216005
2025-06-01,5710467
2025-07-01,6350274
2025-08-01,6343844
2025-09-01,5664639
2025-10-01,6205243
2025-11-01,5909107
2025-12-01,6205647
2026-01-01,6356549
2026-02-01,5384630
2026-03-01,6072461
2026-04-01,6326276
2026-05-01,6086516
2026-06-01,5862313
